time_s,roll_deg,pitch_deg,yaw_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps
9.623487949371338,0.731,1.286,-166.095,-0.366,0.244,1.892
9.628522872924805,0.731,1.285,-166.094,-0.366,0.244,1.892
9.633466958999634,0.731,1.285,-166.093,-0.366,0.244,1.892
9.638471126556396,0.731,1.285,-166.091,-0.427,0.244,1.892
9.643869161605835,0.731,1.285,-166.09,-0.427,0.183,1.892
9.64891791343689,0.731,1.285,-166.089,-0.488,0.183,1.831
9.653964042663574,0.73,1.285,-166.088,-0.427,0.183,1.892
9.658944845199585,0.73,1.285,-166.087,-0.305,0.244,1.892
9.664344072341919,0.731,1.285,-166.085,-0.244,0.183,1.892
9.668934106826782,0.731,1.286,-166.084,-0.244,0.244,1.831
9.673443078994751,0.732,1.285,-166.084,-0.366,0.244,1.831
9.678452968597412,0.732,1.286,-166.083,-0.488,0.183,1.831
9.683526039123535,0.732,1.286,-166.082,-0.488,0.183,1.831
9.68847393989563,0.731,1.286,-166.081,-0.549,0.244,1.831
9.693520069122314,0.731,1.286,-166.08,-0.488,0.244,1.831
9.69841980934143,0.732,1.286,-166.079,-0.366,0.244,1.831
9.703442096710205,0.733,1.287,-166.078,-0.183,0.183,1.892
9.708420038223267,0.734,1.287,-166.077,-0.183,0.183,1.892
9.713413000106812,0.734,1.288,-166.076,-0.183,0.244,1.892
9.71840500831604,0.734,1.288,-166.075,-0.427,0.244,1.892
9.723456859588623,0.733,1.287,-166.074,-0.671,0.183,1.831
9.728462934494019,0.732,1.287,-166.073,-0.671,0.183,1.831
9.733422040939331,0.732,1.287,-166.073,-0.488,0.244,1.831
9.738420963287354,0.735,1.288,-166.074,-0.305,0.244,1.892
9.743412017822266,0.74,1.29,-166.077,-0.061,0.122,2.014
9.748420000076294,0.746,1.291,-166.08,-0.061,0.183,1.892
9.753522157669067,0.751,1.292,-166.084,-0.183,0.244,1.953
9.758423089981079,0.755,1.293,-166.088,-0.366,0.244,1.892
9.763592958450317,0.758,1.294,-166.094,-0.61,0.183,1.892
9.768414974212646,0.76,1.295,-166.1,-0.854,0.183,1.831
9.773438215255737,0.764,1.296,-166.105,-0.671,0.183,1.77
9.779422044754028,0.769,1.297,-166.111,-0.366,0.244,1.831
9.783395051956177,0.774,1.298,-166.116,-0.122,0.244,1.953
9.788414239883423,0.781,1.299,-166.12,-0.0,0.244,1.953
9.793389081954956,0.785,1.3,-166.125,-0.122,0.183,1.953
9.798419952392578,0.789,1.3,-166.13,-0.366,0.244,1.892
9.8035728931427,0.791,1.301,-166.134,-0.61,0.244,1.892
9.8086519241333,0.792,1.302,-166.139,-0.793,0.244,1.831
9.813476085662842,0.794,1.302,-166.144,-0.793,0.244,1.831
9.818392992019653,0.797,1.302,-166.148,-0.549,0.244,1.892
9.823405027389526,0.801,1.302,-166.152,-0.183,0.244,1.892
9.828442096710205,0.805,1.303,-166.156,-0.0,0.244,1.953
9.833379030227661,0.81,1.303,-166.16,-0.0,0.244,1.953
9.838417053222656,0.813,1.303,-166.164,-0.183,0.244,1.892
9.843383073806763,0.813,1.303,-166.167,-0.427,0.244,1.892
9.84840703010559,0.813,1.303,-166.171,-0.793,0.183,1.709
9.853379011154175,0.813,1.304,-166.174,-0.793,0.183,1.709
9.858396053314209,0.814,1.304,-166.178,-0.549,0.183,1.77
9.863391876220703,0.817,1.305,-166.181,-0.305,0.183,1.831
9.868407011032104,0.82,1.305,-166.183,-0.061,0.183,1.953
9.873440980911255,0.823,1.305,-166.185,-0.061,0.366,2.014
9.878387928009033,0.825,1.306,-166.188,-0.305,0.244,1.892
9.8833909034729,0.825,1.306,-166.191,-0.488,0.183,1.831
9.88842511177063,0.825,1.307,-166.194,-0.61,0.183,1.831
9.893452882766724,0.825,1.307,-166.196,-0.671,0.244,1.831
9.898432970046997,0.825,1.308,-166.199,-0.61,0.244,1.831
9.903390169143677,0.827,1.309,-166.202,-0.366,0.244,1.831
9.908418893814087,0.831,1.309,-166.204,-0.122,0.244,1.892
9.9133780002594,0.835,1.308,-166.206,-0.0,0.244,1.892
9.918394088745117,0.839,1.309,-166.209,-0.061,0.244,1.892
9.923380851745605,0.841,1.309,-166.211,-0.305,0.244,1.831
9.92841911315918,0.841,1.309,-166.213,-0.549,0.183,1.831
9.933406114578247,0.841,1.31,-166.216,-0.671,0.183,1.831
9.93836784362793,0.841,1.31,-166.217,-0.671,0.183,1.831
9.943376064300537,0.841,1.311,-166.217,-0.427,0.183,1.831
9.948374032974243,0.843,1.31,-166.217,-0.244,0.244,1.892
9.953392028808594,0.844,1.31,-166.217,-0.183,0.244,1.831
9.958441972732544,0.844,1.31,-166.216,-0.183,0.244,1.892
9.963409185409546,0.844,1.309,-166.216,-0.305,0.244,1.892
9.96841311454773,0.842,1.309,-166.216,-0.488,0.305,1.892
9.973416090011597,0.84,1.309,-166.215,-0.61,0.305,1.892
9.97843599319458,0.839,1.31,-166.215,-0.61,0.183,1.953
